answer,label_answer,time,rouge1,rouge2,rougeL
 PGS TS Nguyễn Duy Tân đang giảng dạy các môn học sau:,"Các môn học đã và đang giảng dạy
1. Đại số, Giải tích II, Đại số tuyến tính
2. Đại số đại cương, Lý thuyết Galois, Lý thuyết số đại số, Lý thuyết biểu diễn nhóm hữu hạn",29.61,0.37837837837837834,0.25,0.24324324324324323
" Dựa trên ngữ cảnh được cung cấp, PGS TS Nguyễn Duy Tân hướng nghiên cứu về ""Đại số và Lý thuyết số"".","
Đại số và Lý thuyết số",30.4,0.358974358974359,0.3243243243243243,0.358974358974359
 Câu trả lời: PGS TS Nguyễn Thị Toàn có vị trí làm việc là giảng viên trong Bộ môn Toán cơ bản tại Đại học Quốc gia Hà Nội (HUST).,Giảng viên,35.01,0.163265306122449,0.1276595744680851,0.163265306122449
 Email liên lạc của PGS TS Nguyễn Thị Toàn là toan.nguyenthi@hust.edu.vn., toan.nguyenthi@hust.edu.vn,21.88,0.4,0.34782608695652173,0.4
" Dựa trên ngữ cảnh được cung cấp, PGS TS Nguyễn Thị Toàn đang giảng dạy các môn học sau:","Các môn học đã và đang giảng dạy
1. Giải tích 1
2. Giải tích 2
3. Phương trình vi phân và chuỗi
4. Điều khiển tối ưu
5. Độ đo tích phân
6. Tô pô đại cương",17.48,0.4470588235294118,0.21686746987951805,0.23529411764705885
" PGS TS Nguyễn Thị Toàn hướng nghiên cứu về Giải tích biến phân và giải tích đa trị, cũng như Lý thuyết điều khiển tối ưu.","Hướng nghiên cứu
1. Giải tích biến phân và giải tích đa trị (đối đạo hàm của ánh xạ đa trị, dưới vi phân của hàm giá trị tối ưu trong bài toán quy hoạch toán học với ràng buộc đatrị, đối đạo hàm của toán tử nón pháp tuyến, tính chính quy metric của hàm ẩn đa trị, tính liên tục Aubin của hàm ẩn đa trị, …).
2. Lý thuyết điều khiển tối ưu (Dưới vi phân của hàm giá trị, các tính chất liên tục của ánh xạ nghiệm và các điều kiện cực trị trong các bài toán điều khiển tối ưu rời rạc cũng như bài toán điều khiển tối ưu liên tục…).",54.18,0.3261802575107296,0.2857142857142857,0.2918454935622318
 TS. Nguyễn Xuân Thảo là Nguyên Trưởng bộ môn Toán cơ bản trong Bộ môn Toán tại Đại học Quốc gia Hà Nội.,Nguyên Trưởng bộ môn Toán cơ bản,21.84,0.489795918367347,0.46808510638297873,0.489795918367347
 Email liên lạc của PGS TS Nguyễn Xuân Thảo là thao.nguyenxuan@hust.edu.vn., thao.nguyenxuan@hust.edu.vn,14.86,0.3846153846153846,0.33333333333333337,0.3846153846153846
" Dựa trên ngữ cảnh được cung cấp, Bộ môn Toán cơ bản thuộc đơn vị ""Cán bộ"".",Bộ môn Toán cơ bản,25.99,0.47058823529411764,0.43750000000000006,0.47058823529411764
" Dựa trên ngữ cảnh được cung cấp, PGS TS Nguyễn Xuân Thảo đang giảng dạy các môn học sau:","Các môn học đã và đang giảng dạy
1. Giải tích 1
2. Giải tích 2
3. Giải tích 3
4. Phép biến đổi tích phân",22.16,0.3943661971830986,0.2608695652173913,0.2535211267605634
 Câu trả lời: 1. Hướng nghiên cứu,"Chuyên đề
1. Hướng nghiên cứu
2. Phép biến đổi tích phân
3. Các hàm đặc biệt",23.06,0.46153846153846156,0.3243243243243243,0.358974358974359
 TS. Ninh Văn Thu giữ vị trí Giảng viên cao cấp trong Bộ môn Toán cơ bản.,"
Giảng viên cao cấp",22.89,0.45161290322580644,0.41379310344827586,0.45161290322580644
" Bạn có thể liên lạc với PGS TS Ninh Văn Thu bằng cách gửi email đến địa chỉ email của ông ấy, thu.ninhvan@hust.edu.vn.","
Email: thu.ninhvan@hust.edu.vn",17.01,0.2857142857142857,0.19999999999999998,0.2857142857142857
" Email liên lạc của PGS TS Ninh Văn Thu là ""thu.ninhvan@hust.edu.vn"".", thu.ninhvan@hust.edu.vn,14.7,0.4166666666666667,0.3636363636363636,0.4166666666666667
" PGS.TS Ninh Văn Thu giảng dạy các môn học sau đây:
             - Giải tích I, II, III
             - Giải tích phức","Các môn học đã và đang giảng dạy
- Giải tích I, II, III
- Giải tích phức",29.46,0.8571428571428571,0.7777777777777777,0.7142857142857142
" Dựa trên ngữ cảnh được cung cấp, PGS TS Ninh Văn Thu tập trung nghiên cứu vào ""Giải tích phức nhiều biến.""", Giải tích phức nhiều biến,29.9,0.4347826086956522,0.40909090909090906,0.4347826086956522
 GS. TSKH. Nguyễn Thiệu Huy giữ vị trí Giảng viên cao cấp trong Bộ môn Toán cơ bản tại Đại học Quốc gia Hà Nội (HUST).,"
Giảng viên cao cấp",37.37,0.3111111111111111,0.27906976744186046,0.3111111111111111
" Email liên lạc của GS. TSKH. Nguyễn Thiệu Huy là ""huy.nguyenthieu@hust.edu.vn"".", huy.nguyenthieu@hust.edu.vn,22.48,0.4,0.34782608695652173,0.4
 GS. TSKH. Nguyễn Thiệu Huy có vai trò là giảng viên cao cấp trong Bộ môn Toán cơ bản tại Đại học Quốc gia Hà Nội (HUST).,"
Giảng viên cao cấp",30.86,0.30434782608695654,0.2727272727272727,0.30434782608695654
 GS. TSKH. Nguyễn Thiệu Huy giảng dạy các môn học sau trong Bộ môn Toán cơ bản:,"Các môn học đã và đang giảng dạy
1. Đại số, Giải Tích I, II, III (Chính quy), Toán II (KSCLC)
2. Algebra, Differential Equations and Infinite Series (CTTT)
3. Giải Tích hàm, PP Phần Tử hữu hạn (KSTN-Toán-tin)",27.91,0.4096385542168675,0.2222222222222222,0.2650602409638554
" GS. TSKH. Nguyễn Thiệu Huy giảng dạy Đại số, Giải Tích I, II và III trong chương trình CTTT."," Algebra, Differential Equations and Infinite Series",38.21,0.0,0.0,0.0
" TSKH. Nguyễn Thiệu Huy giảng dạy các môn học sau tại Đại học Tübingen, Đức:","4. Functional Analysis (at University of Tübingen, Germany)
5. Operator Theory (at University of Tübingen, Germany)",29.2,0.13953488372093023,0.048780487804878044,0.13953488372093023
 Môn học Functional Analysis được giảng dạy bởi GS. TSKH. Nguyễn Thiệu Huy tại Đại học Tübingen ở Đức.,"University of Tübingen, Germany",35.79,0.12121212121212122,0.06451612903225806,0.12121212121212122
" TSKH. Nguyễn Thiệu Huy giảng dạy môn ""Asymptotic behavior of Evolution Equations"" tại Technical University of Darmstadt, Đức.", Asymptotic behavior of Evolution Equations,28.87,0.3448275862068966,0.29629629629629634,0.3448275862068966
" Môn học Operator Theory được giảng dạy tại University of Tübingen, Đức.","University of Tübingen, Germany",17.51,0.3478260869565218,0.2857142857142857,0.3478260869565218
" Câu trả lời: Phương trình vi phân tuyến tính và phi tuyến trong không gian Banach, áp dụng vào phương trình đạo hàm riêng hàm.","Hướng nghiên cứu
1. Phương trình vi phân tuyến tính và phi tuyến trong không gian Banach, áp dụng vào phương trình đạo hàm riêng hàm
2. Phương trình đạo hàm riêng nửa tuyến tính, bài toán Cauchy không ôtônôm, đa tạp bất biến, đa tạp quán tính và dáng điệu tiệm cận nghiệm của các phương trình tiến hoá
3. Nửa nhóm các toán tử, lý thuyết phổ và ứng dụng, phương trình Navier-Stokes và Hệ động lực thủy khí",46.22,0.46067415730337086,0.40909090909090906,0.4269662921348315
,"
Giảng viên chính",18.76,0.0,0.0,0
" Email liên hệ với TS Bùi Xuân Diệu qua email là ""dieu.buixuan@hust.edu.vn"".",dieu.buixuan@hust.edu.vn,16.21,0.3846153846153846,0.33333333333333337,0.3846153846153846
